deckchoice,soc_win,trialtype
1,1,1
-99,0,1
2,1,1
2,0,1
2,1,1
2,1,1
2,0,1
-99,1,1
2,0,1
1,0,1
2,0,1
-99,0,1
-99,1,1
2,1,1
2,1,1
2,0,1
2,1,1
1,0,1
2,1,1
1,0,1
2,1,1
1,0,1
1,0,1
1,1,1
2,0,1
2,0,1
1,0,1
2,1,1
1,0,1
-99,1,1
2,1,1
-99,1,1
1,1,1
-99,0,1
2,0,1
-99,1,1
-99,0,1
-99,1,1
-99,0,1
1,1,1
1,1,1
2,0,1
1,1,1
1,0,1
1,1,1
-99,1,1
1,0,1
1,0,1
2,1,1
1,1,1
1,0,1
1,1,1
-99,0,1
2,0,1
-99,1,1
1,1,1
-99,0,1
1,1,1
1,0,1
2,1,1
-99,0,1
2,0,1
-99,0,1
2,0,1
2,0,1
2,0,1
1,0,1
2,1,1
2,1,1
2,0,1
2,0,1
2,1,1
1,1,1
2,1,1
1,0,1
2,1,1
2,1,1
2,1,1
-99,1,1
2,0,1
1,1,1
-99,0,1
1,0,1
1,1,1
1,1,1
-99,1,1
2,0,1
1,1,1
1,0,1
-99,1,1
1,1,1
1,1,1
1,0,1
-99,0,1
-99,0,1
-99,1,1
-99,0,1
1,1,1
1,1,1
-99,0,1
-99,1,1
-99,1,1
-99,0,1
-99,1,1
-99,1,1
-99,1,1
-99,0,1
-99,0,1
-99,0,1
-99,1,1
-99,1,1
-99,0,1
-99,0,1
-99,0,1
1,0,1
2,0,1
-99,0,1
1,0,1
-99,1,1
1,1,1
1,0,1
1,1,1
-99,0,1
1,1,1
-99,0,1
1,1,1
1,1,1
-99,1,1
-99,0,1
-99,1,1
1,0,1
1,0,1
2,1,1
-99,1,1
2,0,1
-99,0,1
2,0,1
1,0,1
1,0,1
1,0,1
-99,1,1
-99,1,1
1,1,1
2,1,1
2,0,1
1,0,1
1,1,1
1,0,1
1,1,1
1,1,1
2,1,1
-99,1,1
1,1,1
-99,0,1
-99,0,1
2,0,1
-99,0,1
1,1,1
1,0,1
1,1,1
